mensaje,label
¡Invita a tus amigos y gana recompensas!,spam
Recordatorio: paga tu factura antes del viernes.,ham
¡Aprovecha esta oferta por tiempo limitado!,spam
¡Tu cuenta será cerrada si no haces clic ahora!,spam
Gracias por completar la encuesta.,ham
El informe financiero fue enviado a tu correo.,ham
¡Activa tu cuenta y accede a contenido exclusivo!,spam
¡Aprovecha esta oferta por tiempo limitado!,spam
¡No te pierdas esta increíble oferta limitada!,spam
¡Eres el ganador de un premio de $1000!,spam
¡Invita a tus amigos y gana recompensas!,spam
¡Consigue un préstamo rápido con tasas de interés bajas!,spam
¡Tus deudas pueden desaparecer con un clic!,spam
¡Obtén acceso VIP completamente gratis!,spam
"Por favor, completa el formulario antes del domingo.",ham
¡Participa y gana un viaje todo pago!,spam
"Hola, ¿cómo estuvo tu día?",ham
¡Gana seguidores en redes sociales en minutos!,spam
¡Elimina la grasa con este método natural!,spam
¡Gana seguidores en redes sociales en minutos!,spam
"Recibimos tu solicitud, te responderemos pronto.",ham
¡Compra ahora y recibe un 50% de descuento!,spam
¡Transforma tu cuerpo en solo 7 días!,spam
¡Gana dinero desde casa sin esfuerzo!,spam
¡Tu cuenta será cerrada si no haces clic ahora!,spam
"Saludos cordiales, quedamos atentos a tu respuesta.",ham
Recordatorio: reunión con el equipo el miércoles a las 11:30.,ham
"Saludos cordiales, quedamos atentos a tu respuesta.",ham
¡Compra ahora y recibe un 50% de descuento!,spam
Tu paquete fue entregado hoy a las 17:00.,ham
Tu factura de luz ya está disponible.,ham
Revisa el adjunto con los resultados del informe.,ham
¡Elimina la grasa con este método natural!,spam
"Recibimos tu solicitud, te responderemos pronto.",ham
¡Gana dinero desde casa sin esfuerzo!,spam
¡Tus deudas pueden desaparecer con un clic!,spam
¡Eres el ganador de un premio de $1000!,spam
"Por favor, completa el formulario antes del sábado.",ham
Tu reserva en el restaurante ha sido confirmada.,ham
¡Consigue un préstamo rápido con tasas de interés bajas!,spam
Revisa el adjunto con los resultados del informe.,ham
¡Tu cuenta será cerrada si no haces clic ahora!,spam
¡Eres el ganador de un premio de $1000!,spam
¡Conoce el secreto para ganar dinero fácil!,spam
Nos vemos mañana en la oficina a las 14:00 horas.,ham
Tu suscripción ha sido renovada exitosamente.,ham
Gracias por tu compra. El pedido será enviado pronto.,ham
¡Activa tu cuenta y accede a contenido exclusivo!,spam
Recordatorio: paga tu factura antes del jueves.,ham
¡Compra ahora y recibe un 50% de descuento!,spam
"Por favor, completa el formulario antes del sábado.",ham
¡Haz clic aquí y gana un iPhone gratis!,spam
Gracias por completar la encuesta.,ham
¡Gana dinero desde casa sin esfuerzo!,spam
Recordatorio: reunión con el equipo el viernes a las 15:00.,ham
La entrega del paquete está programada para el lunes.,ham
Recordatorio: reunión con el equipo el viernes a las 13:00.,ham
"Recibimos tu solicitud, te responderemos pronto.",ham
Gracias por completar la encuesta.,ham
¡Participa y gana un viaje todo pago!,spam
¡Haz clic y cambia tu vida hoy mismo!,spam
Recordatorio: paga tu factura antes del martes.,ham
Recordatorio: reunión con el equipo el miércoles a las 9:00.,ham
"Recibimos tu solicitud, te responderemos pronto.",ham
¡Obtén una tarjeta de crédito sin verificación!,spam
¡Haz clic y cambia tu vida hoy mismo!,spam
¡Activa tu cuenta y accede a contenido exclusivo!,spam
Gracias por completar la encuesta.,ham
Tu factura de luz ya está disponible.,ham
La entrega del paquete está programada para el domingo.,ham
¡Obtén una tarjeta de crédito sin verificación!,spam
¡Recibe un producto gratis solo por registrarte!,spam
Tu paquete fue entregado hoy a las 10:30.,ham
"Recibimos tu solicitud, te responderemos pronto.",ham
¡Gana seguidores en redes sociales en minutos!,spam
Recordatorio: reunión con el equipo el domingo a las 17:30.,ham
Tu reserva en el restaurante ha sido confirmada.,ham
¡Recibe un producto gratis solo por registrarte!,spam
¡Haz clic y cambia tu vida hoy mismo!,spam
Tu cita médica está confirmada para mañana a las 20:30 horas.,ham
Tu factura de gas ya está disponible.,ham
¡Elimina la grasa con este método natural!,spam
Nos vemos mañana en la oficina a las 10:00 horas.,ham
¡Gana dinero desde casa sin esfuerzo!,spam
Tu factura de internet ya está disponible.,ham
¡Obtén acceso VIP completamente gratis!,spam
El informe financiero fue enviado a tu correo.,ham
El informe financiero fue enviado a tu correo.,ham
¡Tu cuenta será cerrada si no haces clic ahora!,spam
Aquí está el resumen de tu actividad semanal.,ham
Tu cita médica está confirmada para mañana a las 19:30 horas.,ham
Tu paquete fue entregado hoy a las 10:00.,ham
Tu paquete fue entregado hoy a las 20:00.,ham
Recordatorio: reunión con el equipo el jueves a las 9:00.,ham
Gracias por completar la encuesta.,ham
¡Consigue un préstamo rápido con tasas de interés bajas!,spam
¡Activa tu cuenta y accede a contenido exclusivo!,spam
¡No te pierdas esta increíble oferta limitada!,spam
¡Compra ahora y recibe un 50% de descuento!,spam
"Recibimos tu solicitud, te responderemos pronto.",ham
"Te esperamos para el brunch este fin de semana",ham
"Tu cita médica es el 12 de agosto",ham
"¿Me prestas tu cargador, por favor?",ham
"El banco cerrará por feriado el próximo lunes",ham
"La película es buena, te la recomiendo",ham
"Se ha detectado actividad inusual en tu cuenta. Revisa ahora",spam
"¡Gana un viaje gratis a las Bahamas! Haz clic para participar",spam
"¡Increíble oferta de última hora! ¡No te la pierdas!",spam
"Tu paquete se ha retrasado. Confirma tu dirección para reenviar",spam
"¡Felicidades! Has sido seleccionado para una beca. Regístrate ya",spam
"¡Compra ahora y obtén un 3x1 en todos los productos!",spam
"Recibe $500 al instante. Solo completa una encuesta",spam
"Notificación de impuestos no pagados. Evita multas, haz clic aquí",spam
"Tu cuenta de red social será eliminada. Actualiza tus datos",spam
"Obtén una tarjeta de crédito sin historial crediticio. ¡Solicita hoy!",spam
"¡Atención! Tu premio de lotería caduca pronto. ¡Reclámalo ahora!",spam
"¿Necesitas dinero urgente? ¡Te prestamos sin avales!",spam
"Desbloquea contenido premium en nuestro sitio. ¡Oferta limitada!",spam
"¡Promoción exclusiva! Suscríbete y gana un viaje a París",spam
"Alerta de seguridad: Phishing detectado. Haz clic para protegerte",spam
"¡Regístrate en nuestro casino y recibe 100 giros gratis!",spam
"Tu membresía premium ha sido activada. Costo $99.99/mes",spam
"¡Gana Bitcoin gratis! Únete a nuestra comunidad de inversionistas",spam
"Notificación de WhatsApp: Tienes 3 mensajes nuevos de un contacto desconocido",spam
"El futuro de tu salud está aquí. ¡Prueba nuestro suplemento milagroso!",spam
"¡Descubre el secreto para tener más energía y bajar de peso!",spam
"Felicitaciones, tu número ha sido elegido en nuestro sorteo de dinero",spam
"¡Aprovecha! Venta flash de artículos de lujo con 80% de descuento",spam
"El mejor seguro de vida con primas bajas. ¡Cotiza ya!",spam
"¡Urgente! Tu cuenta bancaria ha sido bloqueada. Restablécela aquí",spam
"Cursos online gratuitos para emprendedores. ¡Inscríbete hoy!",spam
"¡Nuevo producto revolucionario! Transforma tu vida en segundos",spam
"Tu perfil ha sido visto por 50 personas. ¡Visita nuestra web!",spam
"¡No te lo puedes perder! Concierto exclusivo con tus artistas favoritos",spam
"Descarga nuestra app y recibe un bono de bienvenida de $20",spam
"¡Gana una cena gratis en tu restaurante favorito! Participa ahora",spam
"El más poderoso limpiador de virus para tu celular. ¡Descárgalo!",spam
"¡Obtén un préstamo hipotecario con las tasas más bajas del mercado!",spam
"Tu número fue seleccionado al azar para un premio en efectivo. ¡Reclámalo!",spam
"Elimina las arrugas en 5 minutos. ¡Pruébalo ahora!",spam
"Invierte en bienes raíces con poco dinero. ¡Te mostramos cómo!",spam
"¡Tu cupón de $100 está listo para ser usado! ¡Aprovecha!",spam
"Acceso ilimitado a películas y series. ¡Suscríbete ya!",spam
"¡Te estamos buscando! Únete a nuestro equipo y gana mucho dinero",spam
"¡El secreto para conseguir trabajo rápido! Descúbrelo aquí",spam
"¡Abre tu cuenta y recibe un bono de $250!",spam
"Urgente: Tu saldo es negativo. Deposita para evitar cargos extra",spam
"Tu oportunidad de ganar un auto de lujo. ¡Participa en nuestro sorteo!",spam
"¡La mejor oferta de vacaciones! ¡Reserva ahora y ahorra!",spam
"Necesitamos tu opinión para mejorar el servicio. ¡Gana premios!",spam
"¡Oferta imperdible! Smartphones a mitad de precio. ¡Unidades limitadas!",spam
"¡Inscríbete a nuestro webinar gratuito sobre finanzas personales!",spam
"Tu bono de referidos te espera. Invita a tus amigos y gana",spam
"El mejor tratamiento para el cabello. ¡Pruébalo y enamórate!",spam
"¡Recibe notificaciones de nuestros productos más recientes!",spam
"Tu pedido ha sido enviado y llegará en 3 días",ham
"¡Gana un iPhone 15 gratis! Solo entra aquí y participa",spam
"Recordatorio: Tu cita médica es mañana a las 10 AM",ham
"¡Última oportunidad! Suscríbete hoy y obtén un 50% de descuento",spam
"El pago de tu factura se ha procesado correctamente",ham
"Invitación exclusiva: Únete a nuestro club VIP y recibe beneficios únicos",spam
"La reunión con el equipo ha sido reprogramada para el jueves",ham
"¡No esperes más! Compra ahora y recibe un regalo sorpresa",spam
"Tu reserva en el hotel ha sido confirmada. ¡Esperamos verte pronto!",ham
"¡Felicitaciones! Has sido seleccionado para un premio especial",spam
"Tu paquete ha sido entregado. ¡Gracias por tu compra!",ham
"¡Increíble descuento! Compra ahora y paga la mitad",spam
"Recordatorio: Tu cita con el dentista es mañana a las 9 AM",ham
"¡Oferta limitada! Suscríbete hoy y obtén un 70% de descuento",spam
"Tu suscripción ha sido renovada exitosamente",ham
"¡Felicitaciones! Has sido seleccionado para ganar un viaje gratis",spam
"El pago de tu servicio ha sido procesado correctamente",ham
"¡No pierdas esta oportunidad! Gana dinero fácil desde casa",spam
"Tu reserva para la cena ha sido confirmada",ham
"¡Exclusivo para ti! Obtén un iPhone gratis con esta oferta",spam
"Estimado cliente, su factura ya está disponible en línea",ham
"Última llamada: Participa en nuestro sorteo de premios",spam
"La reunión con el equipo se llevará a cabo hoy a las 3 PM",ham
"¡Descarga esta app y recibe un bono de bienvenida!",spam
"Tu pedido ha sido enviado y llegará en 2 días",ham
"¡Haz clic aquí y recibe un regalo sorpresa!",spam
"Recordatorio: Tu clase de yoga empieza en una hora",ham
"¡Gana tarjetas de regalo solo por responder esta encuesta!",spam
"Su cita médica ha sido confirmada. Por favor llegue 15 min antes",ham
"¡Inscríbete ahora y obtén acceso exclusivo!",spam
"Tu entrega está en camino. Gracias por tu paciencia",ham
"¡No esperes más! Obtén un 90% de descuento en nuestro sitio",spam
"Factura pagada exitosamente. Gracias por tu pago",ham
"¡Gran promoción! Compra dos productos y recibe el tercero gratis",spam
"Confirmación: Su reunión ha sido agendada para el martes",ham
"¡Oferta relámpago! Solo por hoy, descuentos de hasta 80%",spam
"Tu cuenta ha sido activada correctamente",ham
"¡Felicitaciones! Eres el ganador de nuestro concurso mensual",spam
"Su vuelo ha sido reprogramado. Consulte su correo para más detalles",ham
"¡Dinero gratis! Solo por registrarte en nuestra página",spam
"Su pedido ha sido entregado en la dirección indicada",ham
"¡No dejes pasar esta promoción! Últimas horas para participar",spam
"Recordatorio: La junta de vecinos será este viernes a las 7 PM",ham
"¡Viaja gratis! Completa este formulario y participa",spam
"Estimado usuario, su cuenta ha sido actualizada exitosamente",ham
"¡Increíble oferta! Obtén un cupón exclusivo solo por registrarte",spam
"Tu reserva de hotel ha sido confirmada",ham
"¡Gana premios diarios! Solo por registrarte en nuestra web",spam
"Tu envío está en camino y llegará mañana",ham
"¡No pierdas esta oportunidad! Únete a nuestro club VIP ahora",spam
"Recordatorio: Tu turno en el banco está reservado para las 10 AM",ham
"¡Obtén una consulta gratuita! Solo por tiempo limitado",spam
"Tu cita con el doctor ha sido reagendada. Consulta tu email",ham
"¡Suscríbete ya y duplica tus beneficios!",spam
"Confirmación: Su inscripción en el evento ha sido exitosa",ham
"¡Apresúrate! Últimos días para aprovechar esta oferta increíble",spam
"El pago de tu membresía ha sido exitoso",ham
"¡Grandes descuentos solo por hoy! No te lo pierdas",spam
"Tu curso online ya está disponible. ¡Bienvenido!",ham
"¡Premio garantizado! Solo por completar este formulario",spam
"Tu solicitud ha sido recibida y será procesada en 24 horas",ham
"¡Gana dinero ahora mismo! Sin experiencia requerida",spam
"Recordatorio: Tu reunión con Recursos Humanos es mañana",ham
"¡Accede a contenido exclusivo! Solo por suscribirte ahora",spam
"Tu reservación para el hotel ha sido confirmada. ¡Disfruta tu estancia!",ham
"¡Última oportunidad! Obtén un 50% de descuento solo hoy",spam
"Estimado usuario, su factura está disponible en su cuenta",ham
"¡Reclama tu recompensa! Solo por tiempo limitado",spam
"Tu vuelo ha sido confirmado. Consulta tu itinerario",ham
"¡Ofertas especiales! Solo por tiempo limitado",spam
"Su paquete ha sido entregado correctamente",ham
"¡Suscríbete y recibe un regalo exclusivo!",spam
"Tu cita de revisión técnica está programada para este viernes",ham
"¡Felicitaciones! Has ganado una tarjeta de regalo",spam
"Tu pago ha sido procesado sin inconvenientes",ham
"¡No pierdas tu oportunidad! Grandes descuentos en electrónica",spam
"Tu reserva para el concierto ha sido confirmada",ham
"¡Obtén una prueba gratuita! Sin costo alguno",spam
"Tu ticket ha sido generado exitosamente",ham
"¡Gana un mes gratis de suscripción! Solo por registrarte",spam
"Tu estado de cuenta ha sido actualizado",ham
"¡Oferta limitada! Consigue un 30% de descuento al registrarte",spam
"Tu cita con el abogado está programada para mañana",ham
"¡Dinero fácil! Solo por completar una encuesta",spam
"Tu suscripción ha sido confirmada. Bienvenido",ham
"¡Descarga ahora y obtén beneficios exclusivos!",spam
"Tu transacción ha sido completada con éxito",ham
"¡Inscríbete ahora y recibe un bono de bienvenida!",spam
"Tu cita con el especialista ha sido agendada",ham
"¡Gana puntos extra solo por comprar hoy!",spam
"¡Felicidades! Has ganado $50000 pesos. Haz clic aquí para reclamar tu premio ahora",spam
"Tu cita médica está confirmada para mañana a las 3 PM",ham
"OFERTA ESPECIAL: 70% descuento en todos los productos. Solo por hoy",spam
"Reunión de equipo reprogramada para el viernes",ham
"¡ÚLTIMO DÍA! Compra ahora y obtén envío gratis",spam
"El paquete llegará entre las 2 y 4 PM",ham
"Gana dinero desde casa sin experiencia. Resultados garantizados",spam
"Recordatorio: pago de tarjeta vence el 15",ham
"¡Increíble oportunidad de inversión! Duplica tu dinero en 30 días",spam
"Tu código de verificación es: 847291",ham
"URGENTE: Reclama tu iPhone gratis antes de medianoche",spam
"La clase de yoga se canceló por lluvia",ham
"Préstamos rápidos sin papeleos. Aprobación inmediata",spam
"Feliz cumpleaños María, que tengas un día especial",ham
"¡Solo quedan 3 productos! Compra ya o te arrepentirás",spam
"El informe mensual está listo para revisión",ham
"Pierde 20 kilos en 1 mes con esta píldora milagrosa",spam
"¿Puedes recoger a los niños hoy?",ham
"ALERTA: Tu cuenta será suspendida. Verifica datos YA",spam
"Gracias por tu compra, tu pedido está en camino",ham
"Método secreto para hacerse millonario revelado",spam
"Cita con el dentista confirmada para el martes",ham
"¡Oferta irresistible! 90% descuento por tiempo limitado",spam
"El proyecto se entregó exitosamente",ham
"Trabajos desde casa, gana $3000 diarios sin invertir",spam
"Tu vuelo sale a las 6:30 AM desde terminal B",ham
"¡Felicitaciones! Eres el ganador número 1000000",spam
"La reunión se movió a la sala de conferencias",ham
"Aprovecha esta oportunidad única, no la dejes pasar",spam
"Recuerda llevar los documentos mañana",ham
"Productos milagrosos para adelgazar, resultados inmediatos",spam
"El curso comienza el lunes próximo",ham
"¡Atención! Promoción exclusiva solo para ti",spam
"¿Nos vemos para almorzar el sábado?",ham
"Criptomonedas: invierte hoy y sé millonario mañana",spam
"El mantenimiento del sistema terminó",ham
"¡No esperes más! Compra ahora con 80% descuento",spam
"Tu cita está confirmada para las 11 AM",ham
"Pastillas para crecer 10 cm en 1 mes garantizado",spam
"El tren llega con 15 minutos de retraso",ham
"¡Última oportunidad! Oferta expira en 2 horas",spam
"Revisar el presupuesto antes del viernes",ham
"Método infalible para ganar la lotería revelado",spam
"¿Trajiste el paraguas? Parece que va a llover",ham
"¡Increíble! Duplica tu sueldo trabajando medio tiempo",spam
"La junta de vecinos será el domingo a las 4",ham
"URGENTE: Confirma tu identidad o perderás tu dinero",spam
"El cumpleaños de papá es la próxima semana",ham
"Créditos rápidos sin consultar centrales de riesgo",spam
"La película empieza a las 7, nos vemos allá",ham
"¡Oportunidad de oro! Invierte $1000 y gana $10000",spam
"El informe está en tu escritorio",ham
"Elimina la celulitis para siempre con este truco",spam
"¿Puedes cubrir mi turno el jueves?",ham
"¡Atención! Tu teléfono ha sido seleccionado para un premio",spam
"La presentación fue un éxito, felicitaciones",ham
"Dieta revolucionaria: pierde peso comiendo lo que quieras",spam
"Confirmación de reserva para 4 personas",ham
"¡Solo hoy! iPhone gratis por ser cliente número 500",spam
"El examen se aplazó hasta el próximo mes",ham
"Gana $500 por hora desde tu casa sin experiencia",spam
"¿Recibiste el email con los documentos?",ham
"¡Felicidades! Has sido preseleccionado para un regalo",spam
"La cena familiar será a las 8 PM",ham
"Método secreto de los ricos para generar ingresos pasivos",spam
"Tu pedido de pizza llegará en 30 minutos",ham
"¡Oferta flash! 95% descuento solo los próximos 10 minutos",spam
"El dentista confirmó la cita para el lunes",ham
"Invierte en forex y retírate en 6 meses",spam
"¿Viste las noticias de esta mañana?",ham
"¡Increíble descubrimiento! Crece el cabello en 1 semana",spam
"La clase de inglés inicia a las 6 PM",ham
"URGENTE: Últimas horas para reclamar tu premio",spam
"El pago se procesó correctamente",ham
"Pastillas mágicas para ser más inteligente",spam
"¿Puedes pasar por el supermercado?",ham
"¡Atención! Oportunidad de negocio que cambiará tu vida",spam
"La videoconferencia comenzará en 5 minutos",ham
"Elimina las arrugas instantáneamente con esta crema",spam
"El informe trimestre está listo",ham
"¡No lo creerás! Método para ganar dinero durmiendo",spam
"¿Quedamos para estudiar esta tarde?",ham
"Préstamos express sin fiador, aprobación en 1 hora",spam
"La cita con el abogado es a las 2 PM",ham
"¡Sorpréndete! Productos de belleza a precio de regalo",spam
"El vuelo se retrasó 2 horas por clima",ham
"Oportunidad única: invierte $500 y gana $5000 garantizado",spam
"¿Tienes tiempo para hablar después del trabajo?",ham
"¡Fantástico! Método para adelgazar sin dieta ni ejercicio",spam
"La reunión de padres es el martes a las 7",ham
