mensaje,label
"¡Gran oferta! Gana dinero desde casa, solo haz clic aquí",spam
"Reunión programada para el lunes a las 10 AM",ham
"¡Consigue un iPhone gratis! Solo por un tiempo limitado",spam
"Hola, solo quería saber cómo te va. ¡Espero que estés bien!",ham
"Compra ahora y ahorra un 50% en todos nuestros productos",spam
"Tu factura de servicios públicos está lista para ser revisada",ham
"¡No te pierdas esta increíble oportunidad! Haz clic para más información",spam
"Recordatorio: Tienes una cita con el médico mañana a las 3 PM",ham
"Obtén un préstamo rápido con tasas de interés bajas",spam
"Gracias por tu compra. Tu orden será enviada pronto",ham
"¡Gana un viaje grátis! Solo responde a este mensaje",spam
"Tu reserva en el hotel ha sido confirmada",ham
"¡Increíble descuento en productos de belleza! Hasta 80% menos",spam
"¿Te gustaría participar en nuestra encuesta? Tu opinión es importante",ham
"Última oportunidad: compra un producto y recibe otro gratis",spam
"Recuerda que tu prueba gratuita de software termina pronto",ham
"Puedes ser el afortunado ganador de un automóvil nuevo. ¡Participa ahora!",spam
"Hola, acabo de enviarte los documentos que discutimos",ham
"Consigue 1000 seguidores en Instagram por solo \$10",spam
"Por favor, confirma tu asistencia al evento del próximo jueves",ham
"Este es un aviso urgente: tu cuenta ha sido bloqueada. Haz clic aquí para desbloquear",spam
"Gracias por tu interés en nuestro boletín informativo. Aquí tienes la última edición",ham
"¡Estás a un paso de ganar un cheque de \$1000! Solo debes completar este formulario",spam
"Por favor, revisa el adjunto de este correo.",ham
"Mejora tu condición física con nuestro nuevo programa de entrenamiento online",spam
"Tu suscripción a Netflix se ha renovado con éxito",ham
"¡No te pierdas estas ofertas exclusivas! Solo hoy",spam
"Su reporte de crédito está listo para ser descargado",ham
"Consigue un préstamo sin intereses simplemente por inscribirte",spam
"Gracias por su mensaje, le responderemos lo antes posible",ham
"Tu amistad podría cambiar tu suerte. ¡Invita a tus amigos y gana recompensas!",spam
"Confirmación de tu cita con el dentista para el 5 de febrero",ham
"¡Activa tu cuenta premium y recibe acceso ilimitado a contenido exclusivo!",spam
"Recordatorio: Cambio de horario para el encuentro de esta semana",ham
"Por tiempo limitado: compra uno y lleva el segundo gratis",spam
"Hola, ¿cómo estuvo tu fin de semana? Espero que lo hayas disfrutado",ham
"Finalmente, la dieta que funcionará para ti. ¡Descúbrelo aquí!",spam
"Resumen de tu actividad semanal en la aplicación de fitness",ham
"¡Aprovecha esta oferta por tiempo limitado y ahorra en tus compras!",spam
"Se ha recibido tu solicitud de soporte técnico. Estamos trabajando en ello",ham
"Supera el estrés con nuestro nuevo programa de meditación online",spam
"Tu paquete ha sido enviado y debe llegar en 3-5 días",ham
"Tu contraseña para la plataforma de banca en línea ha sido actualizada con éxito. Si no realizaste este cambio, por favor, contáctanos inmediatamente para asegurar tu cuenta y proteger tus fondos. Mantente seguro.",ham
"¡Felicidades, estimado usuario! Has sido el afortunado ganador de nuestro sorteo anual, ¡un viaje con todos los gastos pagados a las paradisíacas playas de Cancún! Para reclamar tu increíble premio y comenzar a planificar tu aventura, simplemente haz clic en el siguiente enlace antes de que expire la oferta.",spam
"Este es un recordatorio amable de que el pago de tu factura de servicios públicos, correspondiente al mes de mayo, vence inminentemente el día 7 de junio. Por favor, realiza el pago a tiempo para evitar cualquier interrupción en tu servicio y recargos por mora. Puedes verificar el monto en tu portal de cliente.",ham
"¡Alerta de oferta única! Es tu última y exclusiva oportunidad para aprovechar un descuento sin precedentes del 90% en una selección limitada de artículos de lujo de diseñador. ¡No dejes escapar esta increíble liquidación que no volverá a repetirse! Visita nuestra tienda en línea ahora mismo y llévate lo que siempre soñaste.",spam
"Confirmación de envío de tu compra en nuestra tienda. Queremos informarte que tu paquete ha sido despachado exitosamente y esperamos que llegue a tu domicilio el próximo viernes, entre las 9 AM y las 5 PM. Te enviaremos un SMS con el número de seguimiento en breve para que puedas rastrearlo en tiempo real.",ham
"Urgente: Hemos detectado actividad sospechosa y un posible acceso no autorizado a tu cuenta bancaria. Para proteger tus fondos y asegurar tu información personal, te pedimos que verifiques inmediatamente tus datos haciendo clic en el siguiente enlace seguro. Ignorar este mensaje podría resultar en la suspensión de tu cuenta.",spam
"¿Estás cansado de la rutina y de no llegar a fin de mes? ¿Te gustaría duplicar tus ingresos mensuales sin esfuerzo y cambiar tu vida para siempre? Descubre nuestro método secreto y comprobado para generar riqueza desde la comodidad de tu hogar. Haz clic aquí para acceder a la información exclusiva y comenzar hoy mismo.",spam
"Solo para recordarte que tu cita con el doctor especialista está programada para hoy a las 4 PM. Es importante que llegues con al menos 15 minutos de anticipación para completar el papeleo necesario. Si necesitas cambiar la hora o cancelar, por favor, avísanos con tiempo. Tu salud es nuestra prioridad.",ham
"¡Hola! Tenemos una promoción exclusiva pensada especialmente para ti, nuestro valioso cliente. Regístrate ahora en nuestro nuevo programa de lealtad y recibe instantáneamente un bono de bienvenida que podrás usar en tu próxima compra. ¡No pierdas esta oportunidad de ahorrar y obtener beneficios increíbles!",spam
"¡Grandes noticias! Tu solicitud de préstamo personal ha sido pre-aprobada con condiciones muy favorables, gracias a tu excelente historial crediticio. Te ofrecemos una tasa de interés competitiva y plazos flexibles. Haz clic aquí para revisar los detalles completos y finalizar tu aplicación en solo unos minutos.",spam
"Queremos informarte que el curso intensivo de cocina que te interesa empieza oficialmente el próximo lunes en nuestras instalaciones. Por favor, asegúrate de llegar a tiempo y traer los materiales que se te solicitaron en el correo de bienvenida. ¡Estamos emocionados de tenerte con nosotros y aprender juntos!",ham
"¡Advertencia urgente! Hemos notado que tu perfil en nuestra plataforma ha estado inactivo por un tiempo prolongado y será eliminado permanentemente en las próximas 24 horas si no actualizas tu información. Para evitar la pérdida de todos tus datos y contenidos, por favor, accede al siguiente enlace y valida tu cuenta de inmediato.",spam
"¿Te imaginas generar ingresos significativos mientras disfrutas de la vida y duermes plácidamente? ¡Es posible con nuestro revolucionario programa de afiliados! Únete a nuestra red global de emprendedores y empieza a ganar comisiones impresionantes promocionando nuestros productos. ¡El éxito te espera, no lo dudes!",spam
"Estimados miembros del equipo, les informamos que la reunión de coordinación de proyecto programada para hoy ha sido lamentablemente cancelada debido a imprevistos de última hora. Les haremos llegar un nuevo horario para la reprogramación en la brevedad posible. Agradecemos su comprensión y flexibilidad.",ham
"¡Felicidades! Queremos informarte que, tras un sorteo aleatorio entre nuestros usuarios más leales, has sido seleccionado como el ganador de un flamante iPhone 15 de última generación. Para reclamar tu increíble premio y empezar a disfrutar de la tecnología más avanzada, haz clic en el enlace adjunto y sigue los pasos.",spam
"Tu pedido número 12345 de Amazon ya se encuentra en camino. Estimamos que la entrega se realizará en las próximas 24 a 48 horas hábiles. Puedes rastrear el estado de tu envío en tiempo real utilizando el número de seguimiento ASG789 que te hemos proporcionado en el correo electrónico de confirmación de tu compra.",ham
"¡Grandes ofertas en camino! Prepárate para nuestra inminente liquidación total por cierre de negocio. Te ofrecemos descuentos increíbles en todas las categorías de productos, desde electrónica hasta moda. ¡Es tu oportunidad de llevarte todo lo que quieres a precios de locura! Visítanos antes de que sea tarde.",spam
"Importante notificación de impuestos: Lamentamos informarte que tu reciente declaración de impuestos ha sido rechazada por inconsistencias. Para evitar multas y resolver esta situación lo antes posible, te pedimos que actualices tus datos fiscales haciendo clic en el siguiente enlace. La verificación es obligatoria.",spam
"Solo para recordarte que el concierto de rock que tanto esperabas con tu banda favorita empieza esta noche a las 20:00 horas en el Estadio. Asegúrate de llegar con suficiente tiempo para encontrar tu asiento y no perderte ni un minuto del espectáculo. ¡Nos vemos allí para rockear toda la noche!",ham
"¡Inscríbete hoy mismo en nuestra plataforma y sé uno de los primeros en beneficiarte de esta oferta inigualable! Recibe un asombroso 50% de descuento en tu primera compra con nosotros, válido en cualquier producto de nuestro extenso catálogo. ¡No dejes pasar esta oportunidad de ahorrar y descubrir la calidad que ofrecemos!",spam
"¿Estás buscando activamente un nuevo trabajo y te sientes frustrado? ¡Tenemos la solución perfecta para ti! Nuestra plataforma conecta a miles de profesionales con las mejores empresas. Descubre ofertas de empleo exclusivas y postúlate ya para el puesto de tus sueños. ¡Tu futuro laboral te espera!",spam
"Estimado cliente, te recordamos que tu cita programada para el mantenimiento preventivo de tu automóvil en nuestro taller es el próximo 10 de junio a las 9:00 AM. Por favor, asegúrate de traer tu vehículo a tiempo. Si necesitas reagendar, no dudes en contactarnos con anticipación. ¡Te esperamos para servirte!",ham
"¡Dinero garantizado en tan solo 24 horas! ¿Necesitas liquidez urgente? Te ofrecemos la solución financiera que estabas esperando: un préstamo personal sin necesidad de avales ni engorrosos trámites burocráticos. Haz clic aquí y solicita tu dinero hoy mismo. ¡La aprobación es instantánea y los fondos se desembolsan rápidamente!",spam
"Estimados estudiantes de yoga, les informamos que ha habido un pequeño cambio en el horario de nuestra clase de los jueves. A partir de la próxima semana, la sesión se moverá a las 6 PM para acomodar mejor a todos los participantes. Agradecemos su flexibilidad y esperamos verlos allí para seguir practicando juntos.",ham
"¡Atención, atención! No podrás creer lo que tenemos para ti. Haz clic en el siguiente enlace y participa en nuestro sorteo instantáneo para ganar un premio sorpresa que cambiará tu día. ¡Cada clic te acerca más a una recompensa inesperada! No esperes más, la suerte está de tu lado, ¡compruébalo ahora!",spam
"Solo para recordarte que nuestras oficinas permanecerán cerradas por motivo del feriado nacional el próximo 20 de junio. Reanudaremos nuestras actividades habituales el día siguiente. Te pedimos disculpas por cualquier inconveniente que esto pueda causarte y agradecemos tu comprensión. ¡Que disfrutes del feriado!",ham
"¡Alerta de oportunidad! Has sido seleccionado para participar en una encuesta de mercado muy especial y, lo mejor de todo, ¡es completamente remunerada! Tus valiosas opiniones nos ayudarán a mejorar nuestros productos y servicios. Haz clic en el enlace para comenzar y recibe tu pago garantizado por tu tiempo.",spam
"Estimado usuario, queremos informarte que tu membresía premium en nuestra plataforma está a punto de caducar. No te quedes sin acceso a todos nuestros beneficios exclusivos. Renueva ahora mismo y aprovecha un descuento especial para mantener tu estatus premium. ¡No dejes que se te escape esta gran oferta!",spam
"Adjunto a este correo electrónico encontrarás el reporte mensual de desempeño de nuestro equipo. Por favor, tómate un tiempo para revisarlo cuidadosamente, ya que contiene información crucial sobre nuestros logros, desafíos y las métricas clave del último mes. Quedo atento a cualquier comentario o pregunta que tengas.",ham
"¡Oferta relámpago que no podrás creer! Preparamos una venta especial donde podrás comprar 1 artículo y llevarte 2 completamente gratis en categorías seleccionadas. ¡Esta promoción es válida solo por hoy y las unidades son limitadas! No dejes escapar esta locura de precios. ¡Corre a nuestra tienda en línea antes de que se agote todo!",spam
"Estimado usuario, hemos detectado que tu cuenta de correo electrónico ha excedido su límite de almacenamiento, lo que podría impedir la recepción de nuevos mensajes. Para evitar interrupciones en tu comunicación y mantener tu bandeja de entrada funcional, por favor, actualiza tu espacio haciendo clic en el siguiente enlace de verificación.",spam
"Queremos enviarte nuestros más sinceros deseos de felicidad en este día tan especial. ¡Feliz aniversario! Que este nuevo año de unión y éxitos esté lleno de alegría, amor y muchísimas experiencias maravillosas. Esperamos que disfrutes cada momento y que sigan sumando años de grandes logros juntos.",ham
"¿Cansado de que las deudas te persigan y te quiten el sueño? ¡Tenemos la solución definitiva para ti! Descubre el secreto para vivir una vida completamente libre de deudas y alcanzar tu libertad financiera. Consulta con nuestros expertos certificados hoy mismo y empieza a construir un futuro sólido y sin preocupaciones. ¡Es tu momento!",spam
"Estimado pasajero, su vuelo con destino a [Ciudad de Destino] ha sido confirmado exitosamente. El número de reserva para su viaje es KLP123. Le recordamos que debe presentarse en el aeropuerto al menos dos horas antes de la salida de su vuelo para realizar el check-in y los trámites de seguridad. ¡Que tenga un buen viaje!",ham
